City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hermanus,-34.4187,19.2345,55.0,55.0,84,96,6.46,ZA,1619723525
Anadyr,64.75,177.4833,14.0,14.0,85,0,6.71,RU,1619723525
Jamestown,42.097,-79.2353,56.62,59.0,94,90,9.22,US,1619723525
San Patricio,28.017,-97.5169,76.93,82.4,74,90,10.36,US,1619723526
Antón Lizardo,19.05,-95.9833,95.0,95.0,46,1,5.75,MX,1619723526
East London,-33.0153,27.9116,59.0,59.0,94,20,8.05,ZA,1619723305
Gisborne,-38.6533,178.0042,43.0,43.0,95,2,3.0,NZ,1619723282
Portland,45.5234,-122.6762,68.86,71.01,37,1,3.44,US,1619722910
Maniitsoq,65.4167,-52.9,36.79,36.79,77,100,8.32,GL,1619723527
Mutatá,7.2441,-76.4356,81.1,81.1,80,100,1.66,CO,1619723527
Payo,-3.7508,103.6372,72.48,72.48,97,83,2.26,ID,1619723527
Pangoa,-12.1167,-73.0,71.83,71.83,82,95,2.84,PE,1619723528
Finschhafen,-6.6024,147.8681,77.72,77.72,84,50,8.14,PG,1619723528
Halifax,44.6453,-63.5724,52.57,61.0,81,100,14.97,CA,1619723430
Umluj,25.0213,37.2685,88.65,88.65,33,93,6.87,SA,1619723529
Thompson,55.7435,-97.8558,30.2,30.2,47,75,14.97,CA,1619723529
Tuktoyaktuk,69.4541,-133.0374,19.4,19.4,68,20,16.11,CA,1619723351
Rodolfo Sánchez Taboada,31.7167,-116.5667,73.0,73.0,62,0,1.01,MX,1619723529
Beringovskiy,63.05,179.3167,23.11,23.11,81,100,3.44,RU,1619723363
Udachny,66.4167,112.4,11.46,11.46,97,73,5.01,RU,1619723530
Vieira de Leiria,39.8695,-8.9324,58.39,59.0,58,20,9.22,PT,1619723530
Lorengau,-2.0226,147.2712,80.19,80.19,81,12,3.96,PG,1619723530
Solnechnyy,50.7214,136.6319,31.96,31.96,91,100,7.27,RU,1619723531
Torbay,47.6666,-52.7314,46.58,51.8,54,75,12.66,CA,1619723531
Billings Metropolitan Area,45.7833,-108.5007,72.54,73.99,24,40,11.5,US,1619723532
Bela Vista,-22.1089,-56.5211,86.2,86.2,15,2,4.9,BR,1619723532
Biak,-0.9131,122.8766,76.24,76.24,81,35,3.49,ID,1619723532
Arraial do Cabo,-22.9661,-42.0278,73.4,73.4,73,75,4.61,BR,1619723533
Kavieng,-2.5744,150.7967,82.49,82.49,74,46,6.31,PG,1619723533
Pisco,-13.7,-76.2167,68.43,69.01,83,0,8.05,PE,1619723496
Sitka,57.0531,-135.33,48.2,48.2,87,90,4.61,US,1619723295
Severo-Kuril'sk,50.6789,156.125,34.93,34.93,88,44,6.46,RU,1619723390
Vao,-22.6667,167.4833,73.54,73.54,63,84,17.05,NC,1619723512
Sistranda,63.7256,8.834,39.2,39.2,70,20,9.22,NO,1619723534
Coahuayana Viejo,18.7333,-103.6833,82.4,82.4,54,40,8.57,MX,1619723534
Illapel,-31.6308,-71.1653,74.57,74.57,47,41,8.19,CL,1619723535
Polunochnoye,60.8697,60.4153,36.95,36.95,77,99,8.68,RU,1619723535
Santa Fe,-31.6333,-60.7,76.28,77.0,44,0,7.0,AR,1619723527
Altamont,42.2068,-121.7372,71.22,72.0,32,1,3.44,US,1619723536
Broken Hill,-31.95,141.4333,55.4,55.4,44,0,9.22,AU,1619723536
Tuatapere,-46.1333,167.6833,51.01,51.01,95,100,10.0,NZ,1619723536
Lata,40.1629,-8.3327,57.22,59.0,58,20,9.22,PT,1619723537
Tucupita,9.0622,-62.051,79.79,79.79,77,100,6.17,VE,1619723537
Howard Springs,-12.497,131.047,74.35,75.2,88,40,3.44,AU,1619723537
Rimbey,52.6334,-114.2353,55.51,59.0,38,53,6.91,CA,1619723538
Coyhaique,-45.5752,-72.0662,60.8,60.8,72,75,6.91,CL,1619723538
Aitape,-3.1374,142.3475,77.86,77.86,87,98,3.31,PG,1619723538
Ponta do Sol,32.6667,-17.1,57.22,63.0,72,95,1.99,PT,1619723539
Acaraú,-2.8856,-40.12,81.54,81.54,79,74,11.25,BR,1619723539
Divnomorskoye,44.5011,38.1353,57.54,57.54,88,50,3.04,RU,1619723540
Narsaq,60.9167,-46.05,42.8,42.8,65,20,6.91,GL,1619723540
Chiredzi,-21.05,31.6667,71.76,71.76,47,0,5.66,ZW,1619723540
Constitución,-35.3333,-72.4167,62.65,62.65,61,100,3.36,CL,1619723354
Port Hardy,50.6996,-127.4199,50.0,50.0,93,90,8.05,CA,1619723541
Ribeira Grande,38.5167,-28.7,60.8,60.8,59,40,13.8,PT,1619723541
Sibu,2.3,111.8167,75.07,75.2,94,40,3.44,MY,1619723541
Kjøllefjord,70.9457,27.3465,28.4,28.4,93,75,25.32,NO,1619723542
Chui,-33.6971,-53.4616,70.36,70.36,47,0,3.44,UY,1619723542
Muros,42.7762,-9.0603,56.7,57.0,63,0,14.16,ES,1619723542
Qaanaaq,77.484,-69.3632,25.88,25.88,74,68,8.1,GL,1619723543
Puerto Ayora,-0.7393,-90.3518,84.2,84.2,70,40,20.71,EC,1619723543
Nikolskoye,59.7035,30.7861,35.35,39.2,35,0,2.24,RU,1619723543
Kanash,55.5086,47.4956,39.2,39.2,65,40,4.47,RU,1619723544
Kailua,21.4022,-157.7394,73.92,77.0,73,90,9.22,US,1619723544
Camacha,33.0833,-16.3333,64.4,64.4,59,40,10.36,PT,1619723545
Hobyo,5.3505,48.5268,85.17,85.17,68,37,12.28,SO,1619723545
Wanaka,-44.7,169.15,49.35,49.35,89,100,4.34,NZ,1619723533
Qianjiang,30.4151,112.8859,66.67,66.67,77,0,13.11,CN,1619723546
Clyde River,70.4692,-68.5914,26.6,26.6,100,90,9.22,CA,1619723546
Port-Cartier,50.0334,-66.8654,53.58,55.4,54,100,4.61,CA,1619723546
Nouadhibou,20.931,-17.0347,71.6,71.6,73,20,18.41,MR,1619723547
Carora,10.1755,-70.0827,73.69,73.69,81,100,3.18,VE,1619723323
Peace River,56.2501,-117.286,33.8,33.8,86,90,8.05,CA,1619723547
Monforte de Lemos,42.5216,-7.5142,45.0,45.0,78,18,1.01,ES,1619723547
Vila Velha,-20.3297,-40.2925,78.55,80.01,78,75,13.8,BR,1619723548
Kupang,-10.1667,123.5833,76.3,76.3,89,10,6.02,ID,1619723548
Pierre,44.3683,-100.351,64.4,64.4,27,1,5.19,US,1619723342
Adrar,20.5022,-10.0711,93.33,93.33,15,78,11.18,MR,1619723549
Srednekolymsk,67.45,153.6833,26.6,26.6,94,100,6.29,RU,1619723549
Vallenar,-28.5708,-70.7581,77.52,77.52,32,3,6.82,CL,1619723550
Yantal',56.8471,105.2542,21.47,21.47,96,12,0.56,RU,1619723550
Aklavik,68.2191,-135.0107,31.1,32.0,47,20,8.05,CA,1619723551
Waddān,29.1614,16.139,93.47,93.47,7,65,8.68,LY,1619723551
Faya,18.3851,42.4509,60.8,60.8,72,40,6.91,SA,1619723551
Kalmunai,7.4167,81.8167,80.44,80.44,80,67,2.13,LK,1619723552
São João da Barra,-21.6403,-41.0511,75.2,75.2,69,0,16.11,BR,1619723552
Bethel,41.3712,-73.414,66.36,68.0,77,90,5.5,US,1619723553
Bilibino,68.0546,166.4372,18.88,18.88,96,100,4.14,RU,1619723553
The Valley,18.217,-63.0578,81.12,84.2,69,40,16.11,AI,1619723258
Bubaque,11.2833,-15.8333,78.37,78.37,71,7,16.15,GW,1619723553
Channel-Port aux Basques,47.5702,-59.1367,38.59,38.59,95,100,7.2,CA,1619723554
Erenhot,43.6475,111.9767,42.87,42.87,34,100,2.8,CN,1619723554
Russell,32.3502,-85.1999,78.03,82.0,68,1,9.22,US,1619723540
Lálas,37.7167,21.7167,59.34,62.6,94,20,4.61,GR,1619723555
Kozulka,50.0351,23.797,52.39,53.01,82,0,4.47,UA,1619723555
Touros,-5.1989,-35.4608,80.6,80.6,83,75,9.22,BR,1619723555
Machiques,10.0644,-72.545,83.1,83.1,69,96,6.42,VE,1619723556
Kargasok,59.0556,80.8572,40.95,40.95,91,100,15.93,RU,1619723556
Lodeynoye Pole,60.726,33.5531,32.41,32.41,81,23,2.82,RU,1619723347
Yar-Sale,66.8333,70.8333,23.07,23.07,95,100,7.56,RU,1619723556
Inta,66.0317,60.1659,20.75,20.75,94,100,3.65,RU,1619723557
Sharjah city,25.3573,55.4033,87.87,88.0,42,0,10.36,AE,1619723475
Turukhansk,65.8167,87.9833,26.71,26.71,87,97,9.17,RU,1619723558
Qaqortoq,60.7167,-46.0333,42.8,42.8,65,20,6.91,GL,1619723385
Bambanglipuro,-7.95,110.2833,76.15,76.15,84,85,2.28,ID,1619723558
Kaabong,3.4836,34.1492,72.75,72.75,49,100,10.36,UG,1619723559
Taoudenni,22.6783,-3.9836,100.08,100.08,13,69,15.46,ML,1619723559
Dunedin,-45.8742,170.5036,54.0,54.0,79,100,1.01,NZ,1619723424
Barrow,71.2906,-156.7887,19.4,19.4,86,90,8.05,US,1619723559
Alice Springs,-23.7,133.8833,44.6,44.6,61,58,5.75,AU,1619723463
Paita,-5.0892,-81.1144,82.4,82.4,57,0,17.27,PE,1619723560
Victor Harbor,-35.5667,138.6167,58.98,60.01,69,0,7.14,AU,1619723341
Pithāpuram,17.1167,82.2667,79.5,79.5,66,0,0.85,IN,1619723560
Poum,-20.2333,164.0167,75.22,75.22,58,11,11.9,NC,1619723561
Kahului,20.8947,-156.47,72.03,78.8,83,40,12.66,US,1619723561
Raja,8.4596,25.678,77.34,77.34,66,100,3.98,SS,1619723562
Rong Kwang,18.339,100.3174,73.71,73.71,91,66,2.42,TH,1619723562
Navalcarnero,40.2891,-4.012,57.0,59.0,54,20,13.8,ES,1619723562
San Cristobal,7.7669,-72.225,75.2,75.2,100,75,4.61,VE,1619723563
Aasiaat,68.7098,-52.8699,33.69,33.69,76,99,1.45,GL,1619723563
Saint Paul Harbor,57.79,-152.4072,39.2,39.2,87,90,3.44,US,1619723365
Sobolevo,54.4299,31.8996,44.17,44.17,80,100,7.74,RU,1619723564
Mount Isa,-20.7333,139.5,62.6,62.6,48,0,1.14,AU,1619723564
Brandon,27.9378,-82.2859,89.04,91.99,45,40,12.41,US,1619723564
Antofagasta,-23.65,-70.4,66.2,66.2,68,20,13.8,CL,1619723483
Marystown,47.1666,-55.1483,42.91,42.91,72,64,9.66,CA,1619723565
Takaungu,-3.6837,39.8566,78.8,78.8,89,40,11.5,KE,1619723565
Longyearbyen,78.2186,15.6401,21.2,21.2,58,40,13.8,SJ,1619723565
Kaitangata,-46.2817,169.8464,55.99,55.99,79,100,8.01,NZ,1619723566
Pevek,69.7008,170.3133,16.39,16.39,94,100,7.52,RU,1619723386
Samarai,-10.6167,150.6667,79.3,79.3,78,84,7.45,PG,1619723566
Broome,42.2506,-75.833,61.5,63.0,100,90,6.91,US,1619723567
Carnarvon,-24.8667,113.6333,71.6,71.6,88,90,12.66,AU,1619723567
Amga,60.8953,131.9608,31.1,31.1,98,100,3.22,RU,1619723567
Sioux Lookout,50.1001,-91.917,44.6,44.6,53,75,12.66,CA,1619723403
Nanortalik,60.1432,-45.2371,39.29,39.29,77,14,7.63,GL,1619723568
Mossamedes,-15.1961,12.1522,75.63,75.63,69,97,12.73,AO,1619723405
Souillac,-20.5167,57.5167,73.4,73.4,100,75,14.97,MU,1619723568
Kirakira,-10.4544,161.9205,78.57,78.57,79,100,6.67,SB,1619723569
Redlands,34.0556,-117.1825,86.45,91.99,12,1,3.44,US,1619723353
Khatanga,71.9667,102.5,29.97,29.97,88,100,11.18,RU,1619723477
Lompoc,34.6391,-120.4579,74.98,81.0,38,3,14.97,US,1619723427
Yangi Marg`ilon,40.4272,71.7189,67.57,71.6,55,0,4.21,UZ,1619723570
Saint George,37.1041,-113.5841,78.13,80.01,16,1,3.44,US,1619723570
Imphal,24.8167,93.95,71.56,71.56,55,94,1.9,IN,1619723570
Murupara,-38.4667,176.7,44.6,45.0,97,5,1.01,NZ,1619723571
Cockburn Town,21.4612,-71.1419,82.4,82.4,61,40,16.11,TC,1619723571
Zhigansk,66.7697,123.3711,29.35,29.35,91,100,5.23,RU,1619723572
Abohar,30.15,74.1833,87.93,87.93,20,80,3.11,IN,1619723572
Ijūin,31.6167,130.4,58.06,58.06,77,22,7.2,JP,1619723572
Talaya,61.3833,152.75,22.48,22.48,94,100,2.19,RU,1619723573
Pilar,-9.5972,-35.9567,84.2,84.2,65,40,12.66,BR,1619723573
Simões,-7.5989,-40.8178,84.7,84.7,52,100,9.55,BR,1619723574
Galle,6.0367,80.217,80.1,80.1,83,90,6.15,LK,1619723574
Port Keats,-14.25,129.55,79.14,79.14,71,52,6.38,AU,1619723575
La Plata,-34.9215,-57.9545,73.0,73.0,54,0,4.0,AR,1619723575
New Port Richey,28.2442,-82.7193,84.78,88.0,58,52,5.99,US,1619723302
Cherskiy,68.75,161.3,14.4,14.4,94,100,4.74,RU,1619723575
Inuvik,68.3499,-133.7218,31.1,32.0,51,46,5.75,CA,1619723576
Havøysund,70.9963,24.6622,27.52,28.4,93,90,20.71,NO,1619723576
Ugoofaaru,5.6667,73.0,83.8,83.8,72,89,7.27,MV,1619723576
Morros,-9.4467,-46.3003,85.98,85.98,51,97,5.19,BR,1619723577
Fortuna,40.5982,-124.1573,54.61,57.0,100,75,4.61,US,1619723386
Butaritari,3.0707,172.7902,83.28,83.28,76,100,17.52,KI,1619723377
Olafsvik,64.8945,-23.7142,41.16,41.16,73,38,6.29,IS,1619723577
Boundiali,9.5217,-6.4869,88.83,88.83,37,29,6.51,CI,1619723578
Richards Bay,-28.783,32.0377,73.98,73.98,83,64,12.39,ZA,1619723578
Luleå,65.5842,22.1547,39.2,39.2,45,0,6.91,SE,1619723578
Saskylakh,71.9167,114.0833,29.62,29.62,89,100,11.43,RU,1619723436
Bandar,2.05,99.75,72.64,72.64,98,100,2.48,ID,1619723579
Vardø,70.3705,31.1107,30.2,30.2,86,75,16.11,NO,1619723579
Kombissiri,12.0656,-1.3375,102.2,102.2,17,20,9.22,BF,1619723580
Alofi,-19.0595,-169.9187,75.2,75.2,100,100,1.14,NU,1619723580
Yingkou,40.6648,122.2283,45.97,45.97,79,18,7.29,CN,1619723580
Motala,58.5371,15.0365,41.85,42.8,56,90,11.5,SE,1619723581
Muroran,42.3172,140.9881,44.92,44.92,86,100,16.15,JP,1619723581
Dunmore Town,25.5,-76.65,77.32,77.32,71,10,14.09,BS,1619723582
Marsá Maţrūḩ,31.3525,27.2453,71.6,71.6,60,0,9.22,EG,1619723582
Paamiut,61.994,-49.6678,37.17,37.17,82,2,5.84,GL,1619723582
Faanui,-16.4833,-151.75,81.59,81.59,71,91,7.96,PF,1619723418
Nome,64.5011,-165.4064,25.23,26.01,74,1,14.97,US,1619723583
Tomelloso,39.1522,-3.0243,51.84,53.6,71,20,9.22,ES,1619723584
Oranjemund,-28.55,16.4333,58.6,58.6,83,6,20.71,NA,1619723584
Carutapera,-1.195,-46.02,81.07,81.07,85,95,4.68,BR,1619723585
Mareeba,-17.0,145.4333,65.57,69.8,78,47,8.05,AU,1619723585
Isangel,-19.55,169.2667,66.2,66.2,94,75,13.67,VU,1619723585
Bonthe,7.5264,-12.505,83.08,83.08,72,100,8.01,SL,1619723586
Karabash,55.4808,60.2157,39.58,39.58,78,16,8.37,RU,1619723586
Alvdal,62.1077,10.6307,32.0,32.0,59,40,2.3,NO,1619723586
Fergus Falls,46.283,-96.0776,56.08,57.0,50,1,12.66,US,1619723587
Carroll,39.5501,-77.0164,77.32,78.01,66,100,5.99,US,1619723587
Chimoré,-16.9833,-65.1333,82.38,82.38,47,7,2.71,BO,1619723588
Timizart,36.8,4.2667,58.32,58.32,70,40,4.23,DZ,1619723588
At-Bashi,41.1702,75.8106,54.32,54.32,28,0,4.07,KG,1619723588
Paraná,-31.732,-60.5238,76.05,77.0,44,0,5.01,AR,1619723589
Hervey Bay,-25.2986,152.8535,64.99,64.99,93,52,5.01,AU,1619723299
Khasan,42.4308,130.6434,42.03,42.03,87,100,5.21,RU,1619723589
Tromsø,69.6496,18.957,29.55,30.2,86,90,23.02,NO,1619723589
Avarua,-21.2078,-159.775,80.6,80.6,89,75,8.05,CK,1619723590
Pirovskoye,57.6267,92.2658,36.5,36.5,93,100,9.15,RU,1619723590
Namatanai,-3.6667,152.4333,78.91,78.91,80,55,3.22,PG,1619723590
Yerbogachën,61.2767,108.0108,21.83,21.83,95,14,3.51,RU,1619723590
Lüderitz,-26.6481,15.1594,59.43,59.43,63,0,24.49,NA,1619723591
Yarim,14.298,44.3779,58.55,58.55,70,13,3.47,YE,1619723591
Lodwar,3.1191,35.5973,87.94,87.94,43,100,20.45,KE,1619723592
Swan Hill,-35.3378,143.5544,54.18,54.18,52,3,4.23,AU,1619723592
Hithadhoo,-0.6,73.0833,83.84,83.84,69,100,6.42,MV,1619723593
Ouésso,1.6136,16.0517,73.42,73.42,96,43,1.77,CG,1619723593
Margate,51.3813,1.3862,46.71,46.99,58,87,1.01,GB,1619723593
Aden,12.7794,45.0367,83.66,83.66,78,2,14.92,YE,1619723594
Nelson Bay,-32.7167,152.15,51.08,52.0,100,4,3.36,AU,1619723594
Castro,-24.7911,-50.0119,67.05,67.05,49,0,7.43,BR,1619723594
Logan Lake,50.4998,-120.8025,54.07,55.99,88,90,5.75,CA,1619723595
Caucayá,-0.1934,-74.7819,80.28,80.28,72,90,4.41,CO,1619723595
Bowen,-20.0167,148.2333,64.4,64.4,94,75,4.61,AU,1619723595
Bukama,-9.2,25.85,73.06,73.06,87,41,1.66,CD,1619723596
Shelburne,44.0787,-80.2041,50.31,51.01,100,100,2.8,CA,1619723596
İskilip,40.7353,34.4739,63.32,63.32,59,100,6.46,TR,1619723596
Saint-Augustin,51.226,-58.6502,44.69,44.69,67,100,3.15,CA,1619723597
Avera,33.194,-82.5271,82.6,82.99,57,75,13.8,US,1619723597
Birao,10.2849,22.7882,90.82,90.82,19,100,1.14,CF,1619723598
Steinheim,51.8707,9.0914,43.79,46.0,84,100,18.88,DE,1619723598
Taltal,-25.4,-70.4833,67.28,67.28,70,34,7.45,CL,1619723598
Jurm,36.8648,70.8342,61.77,61.77,43,10,4.21,AF,1619723599
Esperance,-33.8667,121.9,62.6,62.6,82,90,19.57,AU,1619723599
Kandi,11.1342,2.9386,96.51,96.51,16,75,4.94,BJ,1619723600
Manjacaze,-24.7117,33.8828,72.68,72.68,64,4,7.99,MZ,1619723600
Ulaangom,49.9811,92.0667,51.1,51.1,45,71,6.4,MN,1619723600
Talcahuano,-36.7167,-73.1167,55.4,55.4,94,90,8.05,CL,1619723600
Ilulissat,69.2167,-51.1,39.2,39.2,60,75,3.44,GL,1619723601
Kruisfontein,-34.0033,24.7314,57.99,57.99,93,100,1.01,ZA,1619723601
Bebra,50.9667,9.8,46.49,48.0,64,13,4.0,DE,1619723601
Yauya,-8.9833,-77.3,59.29,59.29,52,45,4.03,PE,1619723602
Alexandria,31.2156,29.9553,71.6,71.6,68,0,9.22,EG,1619723602
Haimen,23.1935,116.6142,69.8,69.8,88,75,2.24,CN,1619723602
Rio Grande,-32.035,-52.0986,71.29,71.6,56,0,11.5,BR,1619723601
Linguère,15.3953,-15.1193,105.8,105.8,18,0,11.5,SN,1619723603
Katsuura,35.1333,140.3,60.15,61.0,86,100,14.32,JP,1619723336
Xining,36.6167,101.7667,49.5,49.5,30,0,2.64,CN,1619723603
Vilyuysk,63.7553,121.6247,22.8,22.8,95,99,2.48,RU,1619723604
Hasaki,35.7333,140.8333,59.0,59.0,100,75,4.61,JP,1619723588
Ambilobe,-13.2,49.05,74.93,74.93,90,24,3.31,MG,1619723604
Murashi,59.3999,48.9615,29.82,29.82,86,13,4.16,RU,1619723605
Outlook,51.5001,-107.0513,46.26,46.4,46,100,5.75,CA,1619723605
Grindavik,63.8424,-22.4338,42.8,42.8,70,75,8.05,IS,1619723605
Imbituba,-28.24,-48.6703,73.4,73.4,64,40,16.11,BR,1619723606
Berlevåg,70.8578,29.0864,28.87,30.2,93,90,35.68,NO,1619723606
Praia,14.9215,-23.5087,75.2,75.2,64,75,18.41,CV,1619723606
Kaeo,-35.1,173.7833,48.0,48.0,93,1,5.01,NZ,1619723607
Cukai,4.25,103.4167,77.0,77.0,94,100,1.14,MY,1619723509
Jodhpur,26.2867,73.03,87.1,87.1,26,96,7.74,IN,1619723533
Lovozero,68.005,35.0117,24.76,24.76,91,100,7.72,RU,1619723607
Araouane,18.9048,-3.5265,100.15,100.15,13,41,9.62,ML,1619723607
Mannārakkāt,10.9833,76.4667,81.63,82.4,83,40,2.13,IN,1619723608
